CENTRO,CARRERA,ASPIRANTES,ADMITIDOS,CUPO,PUNTAJE_MINIMO,CALENDARIO
CUCEA,LICENCIATURA EN ADMINISTRACION GUBERNAMENTAL Y POLITICAS PUBLICAS ,102,90,90,75.8600,2
CUCEA,LICENCIATURA EN CONTADURIA PUBLICA,1190,465,465,144.9033,2
CUCEA,LICENCIATURA EN ECONOMIA,211,111,111,87.0000,2
CUCEA,LICENCIATURA EN GESTION DE NEGOCIOS GASTRONOMICOS,498,128,128,91.8800,2
CUCEA,LICENCIATURA EN GESTION Y ECONOMIA AMBIENTAL,52,46,46,80.0500,2
CUCEA,LICENCIATURA EN MERCADOTECNIA,994,299,299,149.1000,2
CUCEA,LICENCIATURA EN NEGOCIOS INTERNACIONALES,1521,456,456,151.4267,2
CUCEA,LICENCIATURA EN RECURSOS HUMANOS,421,165,165,86.4000,2
CUCEA,LICENCIATURA EN RELACIONES PUBLICAS Y COMUNICACION ,282,94,94,89.0000,2
CUCEA,LICENCIATURA EN TECNOLOGIAS DE LA INFORMACION,115,104,104,74.8700,2
CUCEA,LICENCIATURA EN TURISMO,319,172,172,87.0000,2
CUCEI,INGENIERIA BIOMEDICA,384,110,110,170.7500,2
CUCEI,INGENIERIA CIVIL,740,140,140,163.7800,2
CUCEI,INGENIERIA EN COMPUTACION,864,300,300,153.7000,2
CUCEI,INGENIERIA EN COMUNICACIONES Y ELECTRONICA,211,109,130,140.3333,2
CUCEI,INGENIERIA EN LOGISTICA Y TRANSPORTE,60,39,50,127.9000,2
CUCEI,INGENIERIA EN TOPOGRAFIA GEOMATICA,33,21,50,125.4033,2
CUCEI,INGENIERIA FOTONICA,29,13,25,140.4533,2
CUCEI,INGENIERIA INDUSTRIAL,993,215,215,158.6667,2
CUCEI,INGENIERIA INFORMATICA,703,275,275,150.3700,2
CUCEI,INGENIERIA MECANICA ELECTRICA,631,210,210,152.1067,2
CUCEI,INGENIERIA QUIMICA,593,170,170,163.3667,2
CUCEI,INGENIERIA ROBOTICA,254,70,70,163.9167,2
CUCEI,LICENCIATURA EN CIENCIA DE MATERIALES,19,9,35,141.8800,2
CUCEI,LICENCIATURA EN FISICA,263,65,65,173.1667,2
CUCEI,LICENCIATURA EN INGENIERIA EN ALIMENTOS Y BIOTECNOLOGIA,246,70,70,154.3100,2
CUCEI,LICENCIATURA EN MATEMATICAS,92,60,60,145.8333,2
CUCEI,LICENCIATURA EN QUIMICA,140,92,92,140.1133,2
CUCEI,LICENCIATURA EN QUIMICO FARMACEUTICO BIOLOGO,1251,180,180,169.2167,2
CUCS,CARRERA DE ENFERMERIA (SEMIESCOLARIZADA),10,10,10,67.0000,2
CUCS,CARRERA EN ENFERMERIA,123,123,186,63.0000,2
CUCS,LICENCIATURA EN CIENCIAS FORENSES,255,33,33,95.4400,2
CUCS,LICENCIATURA EN CIRUJANO DENTISTA,1514,157,157,168.0800,2
CUCS,LICENCIATURA EN CULTURA FISICA Y DEPORTES,721,186,186,142.2500,2
CUCS,LICENCIATURA EN ENFERMERIA,1508,244,244,151.1567,2
CUCS,LICENCIATURA EN ENFERMERIA (MODALIDAD A DISTANCIA),12,12,12,68.6100,2
CUCS,LICENCIATURA EN ENFERMERIA (NIVELACION),47,47,53,67.4000,2
CUCS,LICENCIATURA EN NUTRICION,797,124,124,158.3767,2
CUCS,LICENCIATURA EN PODOLOGIA,133,30,30,90.1500,2
CUCS,LICENCIATURA EN PSICOLOGIA ,1824,218,218,164.2700,2
CUCS,MEDICO CIRUJANO Y PARTERO,4403,367,367,180.4167,2
CUCS,TECNICO SUPERIOR UNIVERSITARIO EN EMERGENCIASSEGURIDAD LABORAL Y RESCATES,181,62,62,86.2600,2
CUCS,TECNICO SUPERIOR UNIVERSITARIO EN PROTESIS DENTAL,71,63,63,76.0000,2
CUCS,TECNICO SUPERIOR UNIVERSITARIO EN RADIOLOGIA E IMAGEN,189,94,94,83.2800,2
CUCS,TECNICO SUPERIOR UNIVERSITARIO EN TERAPIA FISICA,436,62,62,93.5500,2
CUCS,TECNICO SUPERIOR UNIVERSITARIO EN TERAPIA RESPIRATORIA ,51,32,32,78.6100,2
CUCSH,ABOGADO,1404,420,420,148.0000,2
CUCSH,ABOGADO (SEMIESCOLARIZADO),493,200,200,84.0300,2
CUCSH,LICENCIATURA EN ANTROPOLOGIA,65,40,40,86.1700,2
CUCSH,LICENCIATURA EN DIDACTICA DEL FRANCES COMO LENGUA EXTRANJERA,33,33,34,73.0800,2
CUCSH,LICENCIATURA EN DOCENCIA DEL INGLES COMO LENGUA EXTRANJERA,45,45,45,78.8500,2
CUCSH,LICENCIATURA EN FILOSOFIA,59,59,61,69.0000,2
CUCSH,LICENCIATURA EN GEOGRAFIA,21,21,50,65.0000,2
CUCSH,LICENCIATURA EN HISTORIA,85,85,90,70.8700,2
